area,category_searched,name,address,rating,review_count,website,phone,types,business_status,price_level
"Burari, Delhi",salons,"The Valid Unisex Salon - Best Makeup Artist in Delhi, Bridal Makeup Artist, Nail Extension & Beauty Parlour in Burari, Delhi","Plot No Pvt- 4 Khasra No- 122, Ground Floor Extanded, 5/1, Laldora, Sant Nagar, Burari, Delhi, 110084, India",4.5,91.0,https://thevalidunisexsalon.com/,092056 56721,"beauty_salon, makeup_artist, beautician, massage_spa, massage, spa, hair_salon, hair_care, nail_salon, store, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Swanky unisex salon,"775, Vijay Colony, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.4,188.0,,093101 06196,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,The w salon & academy,"bus stand, Main road, near union Bank, opp. royal Enfield showroom, Conductor Colony, Burari, New Delhi, Delhi, 110084, India",4.3,413.0,,096252 03609,"beauty_salon, makeup_artist, tanning_studio, barber_shop, hair_salon, hair_care, nail_salon, health, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Devika Salon & Academy - Best Salon in Sant Nagar Burari Delhi,"Main Market, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.8,154.0,https://www.instagram.com/devikaunisexsaloon/,,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Ozone Beauty Parlour,"Cross Road, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.9,560.0,,092502 08058,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Devika Elegance unisex salon (salon near me),"Shop 2 and 7, near aggrwal sweet, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.8,87.0,,095406 59945,"beauty_salon, hair_salon, hair_care, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,The Ashh Family Salon And Academy,"Block B, Block D, Kaushik Enclave, Indraprasth Colony, Burari, Delhi, 110084, India",4.8,75.0,,099588 43760,"beauty_salon, makeup_artist, barber_shop, hair_salon, hair_care, nail_salon, health, school, educational_institution, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Hair Theory Luxury Salon & Academy,"KHASRA NO, 346, Main Road, near Government School, Block D, Kamal Pur, Burari, New Delhi, Delhi, 110084, India",5.0,41.0,,,"hair_salon, hair_care, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,LOONIX UNISEX SALON & ACADEMY,"Shop No. 4 Bengali Colony Stand, A-1 Block, Kamal Vihar, Sant Nagar, Burari, Delhi, 110084, India",4.8,131.0,,095605 63836,"barber_shop, makeup_artist, hair_care, nail_salon, beauty_salon, health, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,Sudiksha Makeup Studio - Best Makeup Artist,"Sudiksha Make-Up Studio kh-No- 658 First Floor Main, Bus Stop, Conductor Colony, Burari, New Delhi, Delhi, 110084, India",4.7,128.0,https://sudikshamakeupstudio.com/,095824 38998,"beauty_salon, makeup_artist, beautician, hair_salon, hair_care, nail_salon, point_of_interest, service, establishment",OPERATIONAL,
