name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status
Mi Store Burari Jai Shri Shyam Enterprises,"Burari, Delhi",110084,electronics shops,4.2,33,0,0,1,0,,5,OPERATIONAL
Morex Electronics,"Burari, Delhi",110084,electronics shops,5.0,4,0,0,1,0,,4,OPERATIONAL
Dr Parashar Clinic (Dr L.R Parashar),"Burari, Delhi",110084,clinics,4.9,71,0,0,1,0,,4,OPERATIONAL
HOPE CLINIC,"Burari, Delhi",110084,clinics,5.0,38,0,1,1,0,,5,OPERATIONAL
Vanya Health Clinic,"Burari, Delhi",110084,clinics,5.0,42,0,0,1,0,,4,OPERATIONAL
Ekta Clinic,"Burari, Delhi",110084,clinics,4.9,25,0,1,1,0,,4,OPERATIONAL
Kaushik Clinic,"Burari, Delhi",110084,clinics,4.9,11,0,0,1,0,,4,OPERATIONAL
Aarogya Dental clinic & Implant center,"Burari, Delhi",110084,clinics,4.8,185,0,0,1,0,,8,OPERATIONAL
Dr. Nitin Kumar Dev Life Line Clinic (Skin & Hair PRP GFC Clinic ),"Burari, Delhi",110084,clinics,4.7,242,0,1,1,0,,6,OPERATIONAL
Aarogya Clinic,"Burari, Delhi",110084,clinics,4.9,21,0,0,1,0,,5,OPERATIONAL
Vardaan Diagnostic and Women Care Center,"Burari, Delhi",110084,clinics,4.2,282,0,1,1,0,,7,OPERATIONAL
NU LIFE CLINIC & PHYSIOTHERAPY CENTRE | best physiotherapy clinic in burari | physiotherapy center burari,"Burari, Delhi",110084,clinics,5.0,44,0,1,1,0,,4,OPERATIONAL
skin care burari Delhi,"Burari, Delhi",110084,clinics,4.9,78,0,0,1,0,,4,OPERATIONAL
Dr Nitin verma (Medi Skin & Laser Clinic- north),"Burari, Delhi",110084,clinics,4.7,218,0,1,1,0,,5,OPERATIONAL
Medlife Hospital,"Burari, Delhi",110084,clinics,3.8,166,0,0,1,0,,5,OPERATIONAL
ONE STOP HEALTHCARE & PATH LAB,"Burari, Delhi",110084,clinics,4.5,77,0,1,1,0,,5,OPERATIONAL
Family Clinic,"Burari, Delhi",110084,clinics,5.0,3,0,1,1,0,,5,OPERATIONAL
Little Stars Clinic,"Burari, Delhi",110084,clinics,4.6,34,0,0,1,0,,4,OPERATIONAL
Jeevan Rekha Clinic,"Burari, Delhi",110084,clinics,4.3,4,0,0,0,0,,4,OPERATIONAL
Ayush Clinic,"Burari, Delhi",110084,clinics,5.0,7,0,0,1,0,,4,OPERATIONAL
Dr savita piles clinic,"Burari, Delhi",110084,clinics,4.9,108,0,1,1,0,,5,OPERATIONAL
KUSHWAHA CLINIC,"Burari, Delhi",110084,clinics,4.5,2,0,0,1,0,,4,OPERATIONAL
Jyoti Bakers,"Burari, Delhi",110084,bakeries,4.8,162,0,0,1,0,,6,OPERATIONAL
Thapliyal Bakers,"Burari, Delhi",110084,bakeries,4.4,102,0,1,1,0,,6,OPERATIONAL
