name,area,category_searched,rating,review_count,website_propensity_score,lead_score
Meenu Fusion Salon,"Rajouri Garden, Delhi",salons,4.7,2049.0,0.6576319818478911,0.7459652246637659
Cafe Rendezvous,"Malviya Nagar, Delhi",cafes,4.2,2424.0,0.6522082939934095,0.7458018611587084
Makeup & Hair studio - FUSION BEAUTY SALON,"Uttam Nagar, Delhi",salons,4.6,333.0,0.7221988263537834,0.7457986940185827
Pinch of Spice Dwarka,"Dwarka, Delhi",restaurants,4.5,1731.0,0.6603618439411046,0.7454366817622333
N S Telecom,"Mukherjee Nagar, Delhi",mobile shops,4.9,1236.0,0.6672588960345324,0.745333822379882
Cafe Crew Brew,"Netaji Subhash Place, Delhi",cafes,4.8,437.0,0.7040934160159422,0.7443100278893602
HAIRCRAFT UNISEX SALON,"Karol Bagh, Delhi",salons,4.8,1226.0,0.6655399813793442,0.7438191634361292
GURU KIRPA HANDLOOM EMPORIUM,"Rohini, Delhi",furniture stores,4.8,368.0,0.7145772426733197,0.7437853847502164
Apni Chaupaal,"Chandni Chowk, Delhi",restaurants,4.5,382.0,0.7110717635121878,0.7430443521055903
Beliram Degchiwala,"Malviya Nagar, Delhi",restaurants,4.1,1167.0,0.6663095645870808,0.7425931657991918
Smile N Care Dental Clinics Implant Center,"Karol Bagh, Delhi",clinics,4.9,241.0,0.7334204632615442,0.7419756391619736
Oberoi Dhaba malviya nagar,"Malviya Nagar, Delhi",restaurants,4.1,994.0,0.6708270748943199,0.7419145925644322
BOA Village,"Civil Lines, Delhi",restaurants,4.2,4350.0,0.6388330123878011,0.7418630394673085
Headlocks Unisex Salon,"Punjabi Bagh, Delhi",salons,4.9,1376.0,0.6595376283256801,0.7416936408660383
Bak On Holliccs,"Patel Nagar, Delhi",bakeries,4.8,510.0,0.6931817681312408,0.7411355421901384
Castle's Barbeque - Janakpuri,"Janakpuri, Delhi",restaurants,4.4,3180.0,0.64202191532276,0.7410070362276621
Wizard digitek computers pvt ltd,"Model Town, Delhi",mobile shops,4.6,3465.0,0.6406188229805576,0.7408553214151099
Sharma Furniture,"Janakpuri, Delhi",furniture stores,4.9,378.0,0.7078603039292063,0.7404070570411019
Pastry Palace,"Janakpuri, Delhi",bakeries,4.1,2745.0,0.6428966845783285,0.7403736999660755
Shri Makeovers,"Vikaspuri, Delhi",salons,4.9,250.0,0.7285330967502507,0.740189430700954
Hair Masters Luxury Salon Dwarka,"Dwarka, Delhi",salons,4.3,849.0,0.6731138171629163,0.7399339972735569
Cafe Wink,"Shahdara, Delhi",cafes,4.3,9447.0,0.6319539539802207,0.7398764183051856
The Big Chill Cakery,"Chandni Chowk, Delhi",bakeries,4.4,1816.0,0.6511769612501925,0.7397339074772109
Team Satpal gym (Arun yadav),"Patel Nagar, Delhi",gyms,4.9,574.0,0.6852175578719253,0.739427377015538
Bhaja Govindam,"Chandni Chowk, Delhi",cafes,4.3,2976.0,0.6397707875252961,0.7393014889839702
BOA Village,"Civil Lines, Delhi",cafes,4.2,4350.0,0.6350247302773869,0.7391972419900186
Smart Mobile Store,"Dwarka, Delhi",mobile shops,4.9,2842.0,0.6405961559323132,0.7391526032702662
Bhaja Govindam,"Chandni Chowk, Delhi",restaurants,4.3,2976.0,0.6379474359411071,0.738025142875038
The Spicy Pinch-Best foods in delhi,"Rohini, Delhi",restaurants,4.8,217.0,0.7337303343898092,0.7378326873600636
Grapi,"Malviya Nagar, Delhi",cafes,4.7,348.0,0.7085789321350638,0.7378218614910844
Zewrat E Noor Jewellers,"Rajouri Garden, Delhi",jewellery shops,4.4,324.0,0.712167158009176,0.7377125123365269
Puri Bakers – Top Bakery in Janakpuri | Affordable bakery and cafe in Delhi | Janakpuri,"Janakpuri, Delhi",bakeries,4.5,199.0,0.7381211065898348,0.7375584770350296
S Salon,"Greater Kailash, Delhi",salons,4.8,663.0,0.6767724755668716,0.7368895218241457
Meenu Makeover And Beauty Salon ( Best Salon in vikaspuri,"Vikaspuri, Delhi",salons,4.8,255.0,0.7222221678495357,0.7363167631694154
Foresta Bistro and Cafe,"Saket, Delhi",cafes,4.2,1509.0,0.6496390887677254,0.7360103379159544
Glossy luxury salon,"Rohini, Delhi",salons,4.8,301.0,0.7135963362020804,0.7359361204625635
bharti's,"Rajendra Nagar, Delhi",salons,4.8,754.0,0.6716757297515993,0.7357871976773305
Riya Group Foundation coaching|Maths|Physics|Chemistry|Tuition||Science|Tutorials|Class 6|Class7|Class 8|Class 9|Class 10,"Punjabi Bagh, Delhi",tutoring centers,4.9,426.0,0.6946155038557006,0.735599364809717
"Guru Nanak Textiles Ladies Suits Wholesale Shop , Factory Godown","Chandni Chowk, Delhi",clothing stores,4.8,856.0,0.6661293470764647,0.735304383783975
The Big Chill Cakery,"Civil Lines, Delhi",bakeries,4.4,1816.0,0.6448166546360298,0.7352816928472969
The Tasteland - Bubble Tea & Coffee Bar,"Netaji Subhash Place, Delhi",cafes,4.7,361.0,0.7034988697449329,0.7352000738733561
The Potbelly – Hauz Khas,"Hauz Khas, Delhi",restaurants,4.3,2968.0,0.6340147180057744,0.7351684340919313
Xero Degrees,"Mayur Vihar, Delhi",restaurants,4.7,2369.0,0.6370542124703196,0.7348566338503308
Akash Gulati Classes,"Laxmi Nagar, Delhi",tutoring centers,4.9,516.0,0.6835315047278275,0.7347955827212439
Modish Wear,"Rohini, Delhi",clothing stores,4.8,1005.0,0.6600371458077116,0.7345692546605538
Ayesha Salon Makeup Studio,"Rajouri Garden, Delhi",salons,4.8,203.0,0.7326826978990738,0.7345041861072064
Echoes,"Rajouri Garden, Delhi",cafes,4.5,433.0,0.6887421190029337,0.7333305559664134
Living Room by Kalsang,"Civil Lines, Delhi",restaurants,4.6,1645.0,0.6428764468411123,0.7326259695361834
Titan first fitness gym,"Saket, Delhi",gyms,4.9,770.0,0.6663792930092618,0.7325727715424694
"Jawed Habib Hair & Beauty Salon, Kamla Nagar","Kamla Nagar, Delhi",salons,4.8,2050.0,0.6381311410407757,0.7323924907700654
Shakti Gems & Jewels - Jeweller In Greater Kailash - Govt. Approved Valuer In Delhi,"Greater Kailash, Delhi",jewellery shops,4.8,266.0,0.7144294423109442,0.7320037238045121
Appearance Unisex Salon ( Best salon Near me),"Kamla Nagar, Delhi",salons,4.8,1024.0,0.6554518526174934,0.7319564352405499
Birch By Romeo Lane Restaurant - Pacific Mall,"Netaji Subhash Place, Delhi",restaurants,4.4,1583.0,0.64289900139496,0.7318372594539806
Birch By Romeo Lane Restaurant - Pacific Mall,"Netaji Subhash Place, Delhi",cafes,4.4,1583.0,0.6425846420483555,0.7316172079113574
G3 cafe - Best Rooftop in East Delhi,"Preet Vihar, Delhi",restaurants,4.2,608.0,0.6725579068475941,0.7314479742396827
Maximum Outfits,"Lajpat Nagar, Delhi",clothing stores,4.1,4689.0,0.6232897045322713,0.7313719973248389
Natty's Cafe | Best Coffee & Desserts shop in Janakpuri,"Janakpuri, Delhi",cafes,4.9,329.0,0.7019510547223317,0.7312100289630715
Jughead's Fast Food,"South Extension, Delhi",restaurants,4.2,1429.0,0.6437212560707999,0.7311931145436775
The Yellow Chilli,"Rajouri Garden, Delhi",restaurants,4.8,1967.0,0.6374758591022288,0.7311292951431865
